ID,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,ID_Count,Platform_Count,Activity_Type_Count,USD_Adjusted_Amount,Subscription Duration,Normalized Purchase Amount,Language_ARA,Language_CHI,Language_DAR,Language_DEU,Language_EBR,Language_ENG,Language_ESC,Language_ESP,Language_FAR,Language_FRA,Language_GLE,Language_GRK,Language_HEB,Language_HIN,Language_IND,Language_ITA,Language_JPN,Language_KIS,Language_KOR,Language_LAT,Language_NED,Language_PAS,Language_POL,Language_POR,Language_RUS,Language_SVE,Language_TGL,Language_TUR,Language_URD,Language_VIE
95,Limited,RENEWAL,App,36673271.5,GBP,7/5/19,7/5/20,Yes,No,On,Europe,Consumer,App,Yes,Yes,5,0,0,0,0,30,1,4,36673271.5,366,0.10310741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,Limited,RENEWAL,Web,35.97,USD,9/22/19,6/22/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,4,0,0,0,0,32,1,4,35.97,274,-0.018506444,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Lifetime,INITIAL_PURCHASE,Web,134.5135,GBP,2/11/20,1/1/99,No,No,Off,Europe,Consumer,Web,No,Yes,2,1,0,1,0,23,1,4,134.5135,28814,-0.018506117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Limited,RENEWAL,App,0,,3/24/20,11/8/20,No,Yes,On,Europe,Consumer,App,Yes,Yes,2,0,0,0,0,37,1,4,,229,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Lifetime,INITIAL_PURCHASE,Web,199,USD,2/23/20,1/1/99,No,No,Off,Other,Other,Unknown,No,No,7,1,0,1,0,1,0,0,199,28802,-0.018505903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Limited,INITIAL_PURCHASE,App,52531977,EUR,3/23/20,6/23/20,Yes,No,On,Europe,Consumer,App,No,Yes,3,2,0,1,0,34,1,4,52531977,92,0.155697215,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Limited,RENEWAL,App,0,,3/21/20,2/15/21,No,Yes,Off,Other,Consumer,App,Yes,Yes,1,0,0,0,0,12,1,4,,331,-0.018506563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Lifetime,INITIAL_PURCHASE,Web,189,USD,3/5/20,1/1/99,No,Yes,Off,Other,Consumer,Web,No,Yes,5,5,0,1,0,22,2,4,189,28791,-0.018505936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Limited,INITIAL_PURCHASE,App,69990000,USD,11/29/19,5/29/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,1,0,0,0,0,7,1,4,69990000,182,0.213590592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Limited,INITIAL_PURCHASE,App,0,,5/27/19,8/27/19,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,13,0,0,0,0,8,1,2,,92,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Limited,INITIAL_PURCHASE,App,0,,3/17/19,3/17/20,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,6,0,0,0,0,35,2,4,,366,-0.018506563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
